fly position,center of mass,laser status
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,386.48,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,NaN,0
0,66.676,0
58.865,58.865,0
61.368,61.368,0
57.748,57.748,0
62.768,62.768,0
65.914,65.914,0
69.507,69.507,0
72.717,72.717,0
76.691,76.691,0
82.261,82.261,0
86.548,86.548,0
89.955,89.955,0
96.468,96.468,0
103.17,103.17,0
115.32,115.32,0
126.42,126.42,0
132.61,132.61,0
139.94,139.94,0
147.78,147.78,0
155.88,155.88,0
167.55,167.55,0
175.11,175.11,0
186.01,186.01,0
185.89,185.89,0
190.19,190.19,0
203.63,203.63,0
219.35,219.35,0
224.21,224.21,0
229.61,229.61,0
235.54,235.54,0
238.82,238.82,0
249.27,249.27,0
258.49,258.49,0
260.19,260.19,0
262.54,262.54,0
269.61,269.61,0
279.54,279.54,0
294.18,294.18,0
298.58,298.58,0
302,302,0
306.28,306.28,0
312.95,312.95,0
323.83,323.83,0
338.17,338.17,0
339.99,339.99,0
342.6,342.6,0
349.33,349.33,0
354.75,354.75,0
363.02,363.02,0
373.87,373.87,0
383.05,383.05,0
393.59,393.59,0
407.42,407.42,0
416.07,416.07,0
418.38,418.38,0
420.04,420.04,0
421.26,421.26,0
427.63,427.63,0
438.65,438.65,0
451.48,451.48,0
463.84,463.84,0
478.52,478.52,0
494.04,494.04,0
500.51,500.51,0
506.15,506.15,0
508.58,508.58,0
511.47,511.47,0
517.67,517.67,0
527.34,527.34,0
532.87,532.87,0
541.94,541.94,0
556.03,556.03,0
570.36,570.36,0
584.57,584.57,0
598.94,598.94,0
612.32,612.32,0
626.67,626.67,0
639.1,639.1,0
642.57,642.57,0
647.2,647.2,0
648.22,648.22,0
652.08,652.08,0
654.47,654.47,0
660.41,660.41,0
667.59,667.59,0
677.51,677.51,0
685.99,685.99,0
698.87,698.87,0
708.17,708.17,0
718.7,718.7,0
725.72,725.72,0
732.51,732.51,0
736.42,736.42,0
740.95,740.95,0
742.31,742.31,0
738.65,738.65,0
743.6,743.6,0
747.42,747.42,0
751.64,751.64,0
755.26,755.26,0
758.38,758.38,0
760.27,760.27,0
762.64,762.64,0
764.52,764.52,0
764.11,764.11,0
763.96,763.96,0
767,765.57,0
763.21,763.21,0
763.21,NaN,0
763.21,NaN,0
763.21,NaN,0
763.21,NaN,0
763.21,726.59,0
763.21,NaN,0
763.21,715.82,0
713.21,713.21,0
711.47,711.47,0
708.2,708.2,0
703.46,703.46,0
698.93,698.93,0
689.92,689.92,0
683.8,683.8,0
674.27,674.27,0
